epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.293,0.98793,2.94141,1.0667,0.00522,0.78393,0.40833,0.3135,0.96519,3.43947,0.93922,0.000405983,0.000405983,0.000405983
2,58.3328,0.99171,1.7489,1.0451,0.94136,0.24659,0.54849,0.39569,1.03688,2.96587,1.03354,0.000795502,0.000795502,0.000795502
3,72.2413,0.94946,1.51119,1.04312,0.65834,0.66641,0.65439,0.44093,1.00505,1.73807,1.12071,0.00115752,0.00115752,0.00115752
4,85.6805,0.94135,1.41925,1.04809,0.66581,0.72827,0.7154,0.52472,0.94458,1.45072,1.06784,0.00112625,0.00112625,0.00112625
5,99.2236,0.91839,1.29479,1.02506,0.83197,0.71834,0.80095,0.58174,0.9331,1.22674,1.12171,0.001085,0.001085,0.001085
6,112.788,0.89384,1.20006,1.03484,0.66544,0.83249,0.79732,0.58221,0.87328,2.9134,1.07448,0.00104375,0.00104375,0.00104375
7,126.628,0.86978,1.1093,1.01889,0.82558,0.6789,0.83508,0.60677,0.84841,0.94542,1.03165,0.0010025,0.0010025,0.0010025
8,139.87,0.80819,0.98061,0.99362,0.88567,0.82456,0.87579,0.62703,0.90163,0.81143,1.06421,0.00096125,0.00096125,0.00096125
9,153.409,0.78658,0.95423,0.99956,0.93637,0.82934,0.88309,0.66562,0.85645,0.80879,1.05849,0.00092,0.00092,0.00092
10,167.156,0.7997,0.92065,1.00546,0.87267,0.84943,0.87868,0.67224,0.80137,0.71187,1.03281,0.00087875,0.00087875,0.00087875
11,180.991,0.78111,0.84742,0.97324,0.8965,0.80699,0.89926,0.65892,0.88721,0.76796,1.02358,0.0008375,0.0008375,0.0008375
12,194.589,0.76577,0.82404,0.97622,0.88666,0.85202,0.8939,0.67327,0.84697,0.74327,1.00224,0.00079625,0.00079625,0.00079625
13,208.24,0.71057,0.76043,0.96568,0.90535,0.84071,0.88097,0.6735,0.83705,0.74311,1.04803,0.000755,0.000755,0.000755
14,223.926,0.71276,0.73431,0.96664,0.90138,0.89463,0.91712,0.69999,0.78057,0.65299,0.99718,0.00071375,0.00071375,0.00071375
15,237.471,0.71537,0.7261,0.96002,0.9169,0.89574,0.93421,0.72873,0.73157,0.58473,0.96862,0.0006725,0.0006725,0.0006725
16,251.351,0.71111,0.70633,0.96946,0.90188,0.8774,0.91964,0.71075,0.72364,0.62769,0.96775,0.00063125,0.00063125,0.00063125
17,264.901,0.73006,0.68661,0.95973,0.94265,0.89548,0.91985,0.69851,0.78201,0.55989,1.00307,0.00059,0.00059,0.00059
18,278.593,0.67269,0.63303,0.94483,0.91916,0.9212,0.9381,0.70082,0.74922,0.58789,0.97854,0.00054875,0.00054875,0.00054875
19,292.273,0.65073,0.60154,0.92471,0.95453,0.83657,0.92986,0.72616,0.73258,0.59902,0.97148,0.0005075,0.0005075,0.0005075
20,306.076,0.6648,0.5967,0.92703,0.90135,0.90537,0.93496,0.70447,0.74428,0.52461,0.96876,0.00046625,0.00046625,0.00046625
21,321.82,0.62355,0.61468,0.89603,0.9585,0.84731,0.92207,0.71575,0.75896,0.60834,0.99281,0.000425,0.000425,0.000425
22,335.497,0.62924,0.59083,0.90749,0.95055,0.9148,0.92851,0.72849,0.73655,0.53968,0.99545,0.00038375,0.00038375,0.00038375
23,348.824,0.61204,0.56549,0.90299,0.92333,0.89468,0.92044,0.72854,0.7149,0.52327,0.98592,0.0003425,0.0003425,0.0003425
24,361.941,0.6131,0.54616,0.90216,0.95151,0.89494,0.93208,0.74432,0.72368,0.53506,0.98424,0.00030125,0.00030125,0.00030125
25,375.258,0.60363,0.5257,0.89285,0.93832,0.90143,0.93244,0.74185,0.70586,0.51635,0.95467,0.00026,0.00026,0.00026
26,387.926,0.59614,0.5084,0.8778,0.92218,0.90237,0.92818,0.73711,0.70325,0.51692,0.95317,0.00021875,0.00021875,0.00021875
27,401.026,0.57815,0.49512,0.87635,0.91752,0.89719,0.92455,0.73783,0.69999,0.51909,0.94677,0.0001775,0.0001775,0.0001775
28,415.941,0.57143,0.47273,0.88185,0.93193,0.90968,0.93113,0.76114,0.66545,0.49904,0.93741,0.00013625,0.00013625,0.00013625
29,428.198,0.55025,0.4707,0.87783,0.92885,0.90238,0.92222,0.75233,0.67071,0.498,0.93705,9.5e-05,9.5e-05,9.5e-05
30,441.31,0.54655,0.48171,0.87024,0.92034,0.89403,0.93083,0.7639,0.65071,0.47825,0.92045,5.375e-05,5.375e-05,5.375e-05
